,chainId,dexId,baseToken,baseTokenAddress,quoteToken,quoteTokenAddress,pairAddress,liquidity,priceNative,priceUsd
28,godwoken,yokaiswap,WCKB,0xC296F806D15e97243A08334256C705bA5C5754CD,USDC,0x186181e225dc1Ad85a4A94164232bD261e351C33,0xBCaAeDd0337D6C311C9d49f69B44C419b22EA17A,"{""usd"":2246627,""base"":447705728,""quote"":1123314}",0.003684,0.003684
29,wanchain,wanswap,WWAN,0xdabD997aE5E4799BE47d6E69D9431615CBa28f48,wanUSDT,0x11e77E27Af5539872efEd10abaA0b408cfd9fBBD,0x0a886Dc4d584d55E9A1FA7eB0821762296b4ec0E,"{""usd"":257261,""base"":783360,""quote"":128630}",0.215,0.215
30,bsc,pancakeswap,HNT,0xaC60F566567fBC9c229E10e1fb73e69C8BbfD6e2,USDT,0x55d398326f99059fF775485246999027B3197955,0xF37037019aD9B762992CCdcFe4eb5cACd5669735,"{""usd"":2607225.8734802627,""base"":1033485,""quote"":1303613}",0.3225,0.3225
31,arbitrum,sushiswap,WETH,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,USDC,0xFF970A61A04b1cA14834A43f5dE4533eBDDB5CC8,0x905dfCD5649217c42684f23958568e533C711Aa3,"{""usd"":22442812.61182,""base"":8981.39,""quote"":11221406}",1628.9528,1628.95
32,canto,slingshotfinance,NOTE,0x4e71A2E537B7f9D9413D3991D37958c0b5e1e503,USDC,0x80b5a32E4F032B2a058b4F29EC95EEfEEB87aDcd,0x9571997a66D63958e1B3De9647C22bD6b9e7228c,"{""usd"":16343955,""base"":6981924,""quote"":9320684}",1.0272,1.02
33,optimism,uniswap,USDC,0x7F5c764cBc14f9669B88837ca1490cCa17c31607,DAI,0xDA10009cBd5D07dd0CeCc66161FC93D7c9000da1,0xbf16ef186e715668AA29ceF57e2fD7f9D48AdFE6,"{""usd"":2344579,""base"":1378014,""quote"":966514}",1.0,1.0
34,osmosis,osmosis,TORI,ibc/EB7FB9C8B425F289B63703413327C2051030E848CE4EAAEA2E51199D6D39D3EC,OSMO,uosmo,816,"{""usd"":408447,""base"":2869783,""quote"":287726}",0.06539,0.06605
35,optimism,velodrome,OP,0x4200000000000000000000000000000000000042,USDC,0x7F5c764cBc14f9669B88837ca1490cCa17c31607,0x47029bc8f5CBe3b464004E87eF9c9419a48018cd,"{""usd"":2299219.189342,""base"":1127362,""quote"":1149610}",2.8614,2.86
36,optimism,velodrome,ETH,0x4200000000000000000000000000000000000006,USDC,0x7F5c764cBc14f9669B88837ca1490cCa17c31607,0x79c912FEF520be002c2B6e57EC4324e260f38E50,"{""usd"":1888699.477658,""base"":756.88,""quote"":944350}",1625.6748,1625.67
37,optimism,uniswap,vETH,0x8C835DFaA34e2AE61775e80EE29E2c724c6AE2BB,vUSD,0xC84Da6c8ec7A57cD10B939E79eaF9d2D17834E04,0x36B18618c4131D8564A714fb6b4D2B1EdADc0042,"{""usd"":12657900,""base"":4407.76,""quote"":7140674}",1623.447,1623.44
38,polygon,uniswap,WBTC,0x1BFD67037B42Cf73acF2047067bd4F2C47D9BfD6,USDC,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,0xeEF1A9507B3D505f0062f2be9453981255b503c8,"{""usd"":701812,""base"":20.96,""quote"":350243}",22904.2601,22904.26
39,heco,mdex,NASA,0x392FdB67Fa4d56FF70a56Cc984194E73c3AcB380,ABUX,0xD676D928F792165C682CD631235ad9e28ABfE553,0x952FD20ab6dE491D066f28f29841f484c81B46FB,"{""usd"":1680935.4555971972,""base"":121643161,""quote"":20208009}",0.06235,0.002235
40,arbitrum,uniswap,TND,0xC47D9753F3b32aA9548a7C3F30b6aEc3B2d2798C,USDC,0xFF970A61A04b1cA14834A43f5dE4533eBDDB5CC8,0x88B553F99bf8Cc6c18435C0c19D4d9B433d83645,"{""usd"":154071,""base"":204554,""quote"":82185}",3.5506,3.55
41,heco,mdex,ETH,0x64FF637fB478863B7468bc97D30a5bF3A428a1fD,WHT,0x5545153CCFcA01fbd7Dd11C0b23ba694D9509A6F,0x53E458aD1CFEB9582736db6BdE9aF89948e3bc3d,"{""usd"":106904.90554717075,""base"":42.83,""quote"":11821}",294.2954,1641.46
