,chainId,dexId,baseToken,baseTokenAddress,quoteToken,quoteTokenAddress,pairAddress,liquidity,priceNative,ccxt
163,bsc,0x40383b3F58B699a4817040792995540F3279EFdB,WBNB,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,BUSD,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,0x2a19226CEb4b186624fa046441D45EB0134808aD,"{""usd"":51848.268885097685,""base"":100.99,""quote"":25924}",312.3787,309.6
164,bsc,0x670f55c6284c629c23baE99F585e3f17E8b9FC31,ETH,0x2170Ed0880ac9A755fd29B2688956BD959F933F8,WBNB,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0x542B077f6a06b488A31B8C8b31E456F2B3984989,"{""usd"":51603.74495771281,""base"":20.68,""quote"":100.68}",5.0361,1570.44
165,polygon,mmfinance,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,USDC,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,0x8C26252B14F9b071585B81b240C4ae2176E8cD3C,"{""usd"":124390.861104,""base"":49.82,""quote"":62195}",1568.94,1570.44
166,fantom,wigoswap,CRV,0x1E4F97b9f9F913c46F1632781732927B9019C68b,WFTM,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0xEDa9715BE52e8819f5C5a2305813A851e568dAFf,"{""usd"":50987.58968237931,""base"":47772,""quote"":117575}",2.0901,1.01
167,aptos,pancakeswap,BNB,0x8d87a65ba30e09357fa2edea2c80dbac296e5dec2b18287113500b902942929d::celer_coin_manager::BnbCoin,USDC,0x8d87a65ba30e09357fa2edea2c80dbac296e5dec2b18287113500b902942929d::celer_coin_manager::UsdcCoin,pcs-150,"{""usd"":1686645,""base"":3283,""quote"":843323}",310.8335,309.6
168,bsc,apeswap,AVAX,0x1CE0c2827e2eF14D5C4f29a091d735A204794041,WBNB,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0x40aFc7CBd0Dc2bE5860F0035b717d20Afb4827b2,"{""usd"":193988.1923272768,""base"":8406.95,""quote"":378.66}",0.06316,19.49
169,bsc,nomiswap,ETH,0x2170Ed0880ac9A755fd29B2688956BD959F933F8,USDT,0x55d398326f99059fF775485246999027B3197955,0xe324aa41eeFd912421C601626A6D5F85CC346B6a,"{""usd"":427101.18417558324,""base"":171,""quote"":213551}",1568.7898,1570.44
170,polygon,sushiswap,LINK,0x53E0bca35eC356BD5ddDFebbD1Fc0fD03FaBad39,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0x74D23F21F780CA26B47Db16B0504F2e3832b9321,"{""usd"":236571.91403605102,""base"":21064,""quote"":94.6}",0.004447,6.948
171,metis,netswap,WETH,0x420000000000000000000000000000000000000A,Metis,0xDeadDeAddeAddEAddeadDEaDDEAdDeaDDeAD0000,0x59051B5F5172b69E66869048Dc69D35dB0B3610d,"{""usd"":543935,""base"":218.3,""quote"":16249}",46.3707,1570.44
172,kcc,mojitoswap,UNI,0xEe58E4D62b10A92dB1089d4D040B759C28aE16Cd,WKCS,0x4446Fc4eb47f2f6586f9fAAb68B3498F86C07521,0x6699b73A444Aa4A4eA821cDc6571ADf7C6c2bEc7,"{""usd"":191131,""base"":17933,""quote"":14413}",0.7935,6.479
173,bsc,planetfinance,WBNB,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,BUSD,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,0x89fD5DcF5D7C9FEbA8c8106A5Abc09325fC2a39e,"{""usd"":168190.6970772067,""base"":328.33,""quote"":84095}",310.8359,309.6
174,fantom,wigoswap,LINK,0xb3654dc3D10Ea7645f8319668E8F54d2574FBdC8,USDC,0x04068DA6C83AFCFA0e13ba15A6696662335D5B75,0xD9EE6DbDB17aFb313c5C2dBf55C71DEb906A72Ce,"{""usd"":56391.30796,""base"":5008.99,""quote"":28196}",6.9534,6.948
175,bsc,0xE52cCf7B6cE4817449F2E6fA7efD7B567803E4b4,WBNB,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,USDT,0x55d398326f99059fF775485246999027B3197955,0x43140d439A685E2B369b34Ee31cACC429B1bB396,"{""usd"":361402.09256776643,""base"":705.1,""quote"":180701}",310.3053,309.6
