,chainId,dexId,baseToken,baseTokenAddress,quoteToken,quoteTokenAddress,pairAddress,liquidity,priceNative,priceUsd,ccxt,ccxt_ticker
1938,bsc,0x79C342FddBBF376cA6B4EFAc7aaA457D6063F8Cb,WBNB,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,BUSD,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,0xc0256bD8155A53e832fe79459327aE114Edd8Fc9,"{""usd"":120933.11659530722,""base"":235.84,""quote"":60467}",326.2384,326.23,325.9,BNB
1940,bsc,biswap,XLM,0x43C934A845205F0b514417d757d7235B8f53f1B9,WBNB,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0xf7Aa265D01b58b66BDCd1b534Fc24fe4867ad39e,"{""usd"":89650.1538083202,""base"":622726,""quote"":175.21}",0.0002769,0.09065,0.0904,XLM
1942,arbitrum,balancer,WBTC,0x2f2a2543B76A4166549F7aaB2e75Bef0aefC5B0f,WETH,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0x64541216bafffeec8ea535bb71fbc927831d0595000100000000000000000002-0x2f2a2543B76A4166549F7aaB2e75Bef0aefC5B0f-0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,"{""usd"":1816121,""base"":54.09,""quote"":728.1}",14.075,22866.69,22905.43,BTC
1945,avalanche,pangolin,WBTC.e,0x50b7545627a5162F82A992c33b87aDc75187B218,WAVAX,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,0x5764b8D8039C6E32f1e5d8DE8Da05DdF974EF5D3,"{""usd"":84316,""base"":2.518,""quote"":3653}",1144.314,22848.91,22905.43,BTC
1951,celo,ubeswap,WBTC,0xBAAB46E28388d2779e6E31Fd00cF0e5Ad95E327B,mCUSD,0x918146359264C492BD6934071c6Bd31C854EDBc3,0x0448E99ab5f8230713a9f5D7E64eC2aB6e5952a3,"{""usd"":85786.95426266249,""base"":2.57,""quote"":42893}",22468.9846,22468.98,22905.43,BTC
1953,ethereum,uniswap,EUROC,0x1aBaEA1f7C830bD89Acc67eC4af516284b1bC33c,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x95DBB3C7546F22BCE375900AbFdd64a4E5bD73d6,"{""usd"":1892051,""base"":650498,""quote"":1206175}",1.0855,1.08,1.0792,EUR
1956,ethereum,sushiswap,MKR,0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xBa13afEcda9beB75De5c56BbAF696b880a5A50dD,"{""usd"":269388,""base"":257.9,""quote"":107.8}",0.4304,704.47,695.0,MKR
1958,bsc,knightswap,ETH,0x2170Ed0880ac9A755fd29B2688956BD959F933F8,WBNB,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0x0ddF35e107b6014B5577e87e3BBCECa74df3e09A,"{""usd"":169442.10207531258,""base"":70.04,""quote"":340.69}",4.9963,1625.35,1627.34,ETH
1963,bsc,biswap,EOS,0x56b6fB708fC5732DEC1Afc8D8556423A2EDcCbD6,WBNB,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0x7683f8349376F297138D3082e236F0E34aF1D1c3,"{""usd"":174069.80318928495,""base"":98137,""quote"":339.95}",0.003343,1.08,1.09,EOS
1964,bsc,0x1c3E50DBBCd05831c3A695d45D2b5bCD691AD8D8,WBNB,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,BUSD,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,0x84Fe65e20c1Bb96F7c6f317c09de85Ba99114B73,"{""usd"":161940.6106252881,""base"":316.25,""quote"":80970}",325.1905,325.19,325.9,BNB
